word,part of speech,gloss,etymology
âe,v,"name, call",
âedǐŋ,n,name ,[‘name-word’]
ajé,n,the Hake people of Mɔłɔsɔu ,[Hake Hake]
àn,pt,honorific for nobles,
ân,a,free,
ândɛ,a,"not free, oppressed",
Ânhɛ̀,n,a Beic nation between Belesao and Mɔłɔsɔu ,[‘free coast’]
ár,v,burn,
àr,pt,question particle,
áraŋ,n,yam ,[Tombwe ʔaraŋge]
árkà,n,"ash, ashes",
árłu,a,burnt; brown, brown
ársǐr,n,caramel,
ársǐrtɛ,n,Tžuro or Fananaki ,['caramel (colored) man']
as,cj,and,
bǎ,n,mother,
bâe,a,same; same as, same as
